Timestamp,Price
2026-02-24 04:37:46,97.24
2026-02-24 04:42:16,97.48
2026-02-24 05:00:37,97.48
2026-02-24 05:05:45,97.48
2026-02-24 05:59:21,97.48
2026-02-24 07:12:26,97.48
2026-02-24 08:51:00,97.48
2026-02-24 09:53:40,97.48
2026-02-24 10:51:03,97.48
2026-02-24 11:41:22,97.48
2026-02-24 13:07:26,97.5
2026-02-24 14:50:31,97.5
2026-02-24 15:59:16,97.5
2026-02-24 17:14:27,97.5
2026-02-24 19:02:57,97.5
2026-02-24 14:12:02,97.5
2026-02-24 15:36:46,92.25
2026-02-24 16:35:44,92.25
2026-02-24 17:34:55,92.25
2026-02-24 18:32:31,92.25
2026-02-24 21:10:20,95.4
2026-02-24 23:53:25,95.4
2026-02-25 01:01:39,95.4
2026-02-25 02:51:55,95.4
2026-02-25 03:51:14,95.4
2026-02-25 04:55:36,95.4
2026-02-25 05:52:59,95.4
2026-02-25 06:40:38,95.4
2026-02-25 08:06:13,95.4
2026-02-25 09:50:22,94.35
2026-02-25 11:04:08,94.35
2026-02-25 12:58:03,95.4
2026-02-25 14:15:53,93.3
2026-02-25 15:36:57,90.01
2026-02-25 16:35:25,93.3
2026-02-25 17:34:37,93.3
2026-02-25 18:28:56,94.35
2026-02-25 21:06:17,95.4
2026-02-25 23:51:02,97.5
2026-02-26 00:58:10,97.5
2026-02-26 02:11:12,97.5
2026-02-26 03:50:50,97.5
2026-02-26 04:51:36,97.5
2026-02-26 05:47:16,97.5
2026-02-26 06:40:22,97.5
2026-02-26 08:07:40,97.5
2026-02-26 09:47:21,97.5
2026-02-26 10:57:28,95.39
2026-02-26 12:05:53,95.39
2026-02-26 13:54:14,92.25
2026-02-26 14:44:06,92.25
2026-02-26 15:38:58,92.25
2026-02-26 16:33:11,92.25
2026-02-26 17:34:39,92.25
2026-02-26 18:30:34,92.25
